,ES1 Index,VG1 Index,NK1 Index,TY1 Comdty,RX1 Comdty,JB1 Comdty,EC1 Curncy,JY1 Curncy,CL1 Comdty,GC1 Comdty,HG1 Comdty
1997-09-10,814.08,,12959.0,58.078125,62.88,88.03,,162.991,99.21,666.28,136.76
1997-09-11,808.08,,12641.0,58.0,62.82,87.94,,162.621,98.96,671.44,133.32
1997-09-12,821.86,,12315.0,58.3125,62.96,88.23,,160.813,98.7,670.82,133.95
1997-09-15,819.86,,12315.0,58.328125,62.96,88.23,,161.727,98.45,667.72,134.65
1997-09-16,841.65,,12446.0,58.921875,63.27,88.44,,160.306,100.18,663.8,133.18
1997-09-17,841.21,,12204.0,58.96875,63.28,88.51,,160.843,99.21,662.56,133.39
1997-09-18,843.21,,12467.0,58.9375,63.48,88.44,,159.633,99.01,663.59,135.5
1997-09-19,846.07,,12495.0,58.96875,63.35,88.44,,158.98,98.86,664.21,135.28
1997-09-22,850.69,,12599.0,59.078125,63.46,88.71,,159.403,100.13,664.21,134.02
1997-09-23,846.95,,12599.0,58.96875,63.49,88.71,,159.384,100.13,666.28,133.67
1997-09-24,840.35,,12765.0,59.125,63.69,88.74,,161.535,100.13,669.17,134.51
1997-09-25,833.31,,12668.0,58.828125,63.47,88.97,,160.69,102.39,676.19,133.04
1997-09-26,839.25,,12426.0,58.984375,63.52,89.07,,160.152,104.8,675.16,133.67
1997-09-29,846.73,,12446.0,58.953125,63.49,89.41,,160.421,106.76,677.64,139.64
1997-09-30,840.35,,12301.0,58.890625,63.62,89.17,,161.17,106.36,690.44,136.2
1997-10-01,848.27,,12343.0,59.15625,63.86,89.71,,160.574,105.71,688.8,135.64
1997-10-02,853.11,,12128.0,59.234375,63.88,89.71,,159.403,109.32,683.47,131.63
1997-10-03,858.84,,12239.0,59.25,63.88,89.33,,158.884,114.3,690.44,131.77
1997-10-06,863.02,,12349.0,59.421875,64.04,89.6,,159.057,110.13,685.73,132.41
1997-10-07,871.16,,12135.0,59.5,64.0,90.0,,158.231,110.28,683.06,133.18
1997-10-08,864.78,,12239.0,59.03125,63.84,89.84,,159.979,111.38,687.16,132.34
1997-10-09,861.04,,12086.0,58.984375,63.41,89.43,,160.018,111.08,674.66,133.46
1997-10-10,859.94,,12086.0,58.765625,63.17,89.43,,161.688,110.98,678.76,132.34
1997-10-13,859.5,,11927.0,58.765625,63.38,89.64,,161.688,107.06,675.89,132.2
1997-10-14,860.6,,12072.0,59.015625,63.51,89.5,,159.269,103.95,674.87,134.58
1997-10-15,857.08,,11934.0,58.921875,63.2,89.55,,159.864,103.3,672.41,136.27
1997-10-16,844.97,,12308.0,58.921875,62.95,89.35,,161.688,105.31,669.74,133.95
1997-10-17,835.29,,12093.0,58.6875,62.86,89.59,,160.44,103.4,668.51,134.44
1997-10-20,847.17,,12017.0,58.734375,63.02,89.85,,159.71,103.95,665.64,136.13
1997-10-21,862.36,,11927.0,58.734375,62.85,89.86,,160.21,103.8,663.8,133.25
1997-10-22,857.74,,12232.0,58.78125,62.63,89.89,,160.171,103.8,663.19,133.88
1997-10-23,841.23,,11961.0,59.109375,62.87,90.02,,158.731,103.8,665.44,131.84
1997-10-24,831.1,,12058.0,59.1875,63.17,90.1,,158.731,103.21,632.44,127.91
1997-10-27,769.48,,11816.0,59.53125,62.91,90.31,,158.327,103.7,640.03,127.0
1997-10-28,813.94,,11268.0,59.265625,63.09,90.51,,160.709,100.7,648.63,127.07
1997-10-29,813.72,,11670.0,59.5,63.29,90.39,,159.941,101.93,644.33,127.84
